field,type
crawl_mobile_MIN_SM_WW_MIDNIGT_ACT_ContactDuration,numeric
crawl_mobile_MIN_TM_WW_MIDNIGT_ACT_ContactDuration,numeric
crawl_mobile_MIN_OM_WW_MIDNIGT_ACT_ContactDuration,numeric
crawl_mobile_MIN_SM_WD_MIDNIGT_ACT_ContactDuration,numeric
crawl_mobile_MIN_TM_WD_MIDNIGT_ACT_ContactDuration,numeric
crawl_mobile_MIN_OM_WD_MIDNIGT_ACT_ContactDuration,numeric
crawl_mobile_MIN_SM_NWD_MIDNIGT_ACT_ContactDuration,numeric
crawl_mobile_MIN_TM_NWD_MIDNIGT_ACT_ContactDuration,numeric
crawl_mobile_MIN_OM_NWD_MIDNIGT_ACT_ContactDuration,numeric
crawl_mobile_MIN_SM_WW_WW_NEG_ContactDuration,numeric
crawl_mobile_MIN_TM_WW_WW_NEG_ContactDuration,numeric
crawl_mobile_MIN_OM_WW_WW_NEG_ContactDuration,numeric
crawl_mobile_MIN_SM_WD_WW_NEG_ContactDuration,numeric
crawl_mobile_MIN_TM_WD_WW_NEG_ContactDuration,numeric
crawl_mobile_MIN_OM_WD_WW_NEG_ContactDuration,numeric
crawl_mobile_MIN_SM_NWD_WW_NEG_ContactDuration,numeric
