field,type
CDTB171,numeric
CDTB174,numeric
CDTB173,numeric
CDTB170,numeric
CDTB155,numeric
CDTB156,numeric
CDTB154,numeric
CDTB159,numeric
CDTB157,numeric
CDTB158,numeric
CDTB163,numeric
CDTB162,numeric
CDTB161,numeric
CDTB160,numeric
CDTB142,numeric
CDTB149,numeric
CDTB139,numeric
CDTB136,numeric
CDTB135,numeric
CDTB134,numeric
CDTB133,numeric
CDTB132,numeric
CDTB131,numeric
pri_acct_no_conv,numeric
CDTB129,numeric
CDTB128,numeric
CDTB125,numeric
CDTB124,numeric
CDTB127,numeric
CDTB126,numeric
CDTB121,numeric
CDTB120,numeric
CDTB123,numeric
CDTB122,numeric
CDTB130,numeric
CDCT003,numeric
CDCT002,numeric
CDCT005,numeric
CDTB117,numeric
CDCT004,numeric
CDCT007,numeric
CDCT006,numeric
CDCT009,numeric
CDCT008,numeric
CDTB112,numeric
CDTB111,numeric
CDTB110,numeric
CDTB114,numeric
CDTB113,numeric
CDCT010,numeric
CDCT011,numeric
CDCT012,numeric
CDTB107,numeric
CDTB109,numeric
CDTB108,numeric
CDTB101,numeric
CDTB100,numeric
CDTB104,numeric
CDCT001,numeric
CDTT009,numeric
CDTT004,numeric
CDTT003,numeric
CDTT002,numeric
CDTT001,numeric
CDTT008,numeric
CDTT007,numeric
CDTT006,numeric
CDTT005,numeric
CDTB098,numeric
CDTB099,numeric
CDTB089,numeric
CDTB095,numeric
CDTB094,numeric
CDTB097,numeric
CDTB096,numeric
CDTB093,numeric
CDTB092,numeric
CDTB078,numeric
CDTB082,numeric
CDTB081,numeric
CDTB086,numeric
CDTB085,numeric
CDTB084,numeric
CDTB083,numeric
CDTB302,numeric
CDTB303,numeric
CDTB300,numeric
CDTB301,numeric
CDTB065,numeric
CDTB066,numeric
CDTB304,numeric
CDTB067,numeric
CDTB068,numeric
CDTB069,numeric
CDTB071,numeric
CDTB070,numeric
CDTB073,numeric
CDTB072,numeric
CDTB075,numeric
CDTB074,numeric
CDTB052,numeric
CDMC327,numeric
CDMC326,numeric
CDMC329,numeric
CDTB050,numeric
CDTB051,numeric
CDMC328,numeric
CDTP012,numeric
CDMC333,numeric
CDTB046,numeric
CDTP013,numeric
CDMC334,numeric
CDTB045,numeric
CDTP014,numeric
CDMC335,numeric
CDTB044,numeric
CDMC336,numeric
CDTP015,numeric
CDMC330,numeric
CDTB049,numeric
CDMC331,numeric
CDTB048,numeric
CDMC332,numeric
CDTB047,numeric
CDTP016,numeric
CDTP017,numeric
CDTP018,numeric
CDTP019,numeric
CDMC319,numeric
CDTB060,numeric
CDMC318,numeric
CDTB061,numeric
CDTB062,numeric
CDTB063,numeric
CDTB064,numeric
CDMC315,numeric
CDMC324,numeric
CDTB055,numeric
CDMC325,numeric
CDMC322,numeric
CDTP024,numeric
CDTP021,numeric
CDTB059,numeric
CDMC321,numeric
CDTB058,numeric
CDTP020,numeric
CDTP029,numeric
CDTP027,numeric
CDTP028,numeric
CDTB030,numeric
CDTB031,numeric
CDTP030,numeric
CDTP031,numeric
CDTB027,numeric
CDTP032,numeric
CDTP033,numeric
CDTP034,numeric
CDTB024,numeric
CDTP035,numeric
CDTB023,numeric
CDTP036,numeric
CDTB022,numeric
CDTP037,numeric
CDTB021,numeric
CDTP038,numeric
CDTB041,numeric
CDMC337,numeric
CDTB037,numeric
CDTP044,numeric
CDTB036,numeric
CDTP041,numeric
CDTB038,numeric
CDTP047,numeric
CDTB033,numeric
CDTP048,numeric
CDTB032,numeric
CDTP045,numeric
CDTB035,numeric
CDTP046,numeric
CDTB034,numeric
CDTP049,numeric
CDTB009,numeric
CDTB007,numeric
CDTB008,numeric
CDTB001,numeric
CDTB002,numeric
CDTB005,numeric
CDTB006,numeric
CDTB003,numeric
CDTB004,numeric
CDTB020,numeric
CDTB018,numeric
CDTB019,numeric
CDTB012,numeric
CDTB015,numeric
CDTB016,numeric
CDTB017,numeric
CDMC304,numeric
